S01,-51.830,55.753,37.164
S02,-54.498,68.788,-18.293
S03,-35.609,78.819,16.092
S04,-0.235,62.434,65.513
S05,0.181,89.249,-7.826
S06,35.272,78.970,16.408
S07,51.167,56.349,37.498
S08,54.021,69.084,-17.587
D01,-64.987,49.590,10.244
D02,-29.480,60.438,57.351
D03,-29.230,85.182,-14.189
D04,-0.040,83.390,31.683
D05,28.847,60.759,57.469
D06,29.184,85.158,-13.797
D07,64.380,50.370,10.803
D08,-45.913,62.130,37.362
D09,-48.594,74.391,-18.852
D10,-28.472,82.252,16.421
D11,7.371,62.222,65.127
D12,7.245,89.106,-7.763
D13,41.334,74.794,16.873
D14,56.154,50.505,37.074
D15,59.327,62.142,-17.105
