1,1,1,-58.802,54.143,23.513,30.6,-49.133,46.016,20.011
2,1,2,-41.387,58.420,48.855,30.5,-32.292,47.635,39.196
3,1,8,-48.714,59.296,37.198,8.7,-40.983,49.860,28.800
4,2,1,-59.589,60.168,-4.362,36.0,-48.397,53.595,-3.640
5,2,3,-42.889,78.096,-16.978,30.4,-36.101,64.716,-11.741
6,2,9,-51.123,72.254,-18.799,8.2,-40.756,61.367,-12.278
7,3,1,-52.105,65.735,13.046,41.9,-43.323,57.220,11.174
8,3,3,-31.819,82.022,0.591,31.6,-25.979,69.913,1.117
9,3,4,-18.354,83.517,24.189,39.1,-15.289,69.407,18.903
10,3,10,-31.677,80.794,16.741,7.9,-26.567,68.268,12.760
11,4,2,-15.837,63.087,62.131,30.4,-10.534,50.217,49.291
12,4,4,0.193,75.250,49.430,39.8,1.593,57.715,37.889
13,4,5,14.824,63.339,62.240,30.2,9.969,50.953,48.589
14,4,11,3.816,63.063,64.658,7.6,6.957,50.436,50.106
15,5,3,-14.887,88.690,-10.565,30.4,-13.398,72.370,-7.675
16,5,4,0.084,87.747,11.946,39.9,1.059,68.377,8.774
17,5,6,15.353,88.520,-10.555,29.9,13.612,72.444,-7.362
18,5,12,4.299,89.233,-8.430,7.1,8.160,72.446,-6.622
19,6,4,18.291,83.473,24.403,38.7,15.082,69.478,18.810
20,6,6,32.689,81.589,0.629,31.4,25.892,70.062,1.215
21,6,7,51.371,66.117,14.439,41.2,42.576,57.797,11.904
22,6,13,38.111,77.250,16.145,7.4,30.372,66.266,12.760
23,7,5,41.232,59.179,48.129,30.3,32.230,48.803,38.145
24,7,7,58.579,53.906,24.739,30.4,48.247,46.798,20.402
25,7,14,53.762,53.417,37.187,7.7,43.966,45.285,29.852
26,8,6,42.847,77.838,-15.335,29.8,36.290,64.907,-10.957
27,8,7,59.018,60.776,-3.202,35.5,48.699,53.534,-2.917
28,8,15,56.285,66.444,-17.492,8.8,44.504,57.567,-12.054
